time,energy
159,1.2287235353084464e+34
160,1.2286857362819225e+34
161,1.2286637501796674e+34
162,1.2286576942051362e+34
163,1.2286676322389782e+34
164,1.228693574903725e+34
165,1.2287354796068336e+34
166,1.228793250558895e+34
167,1.2288667387677902e+34
168,1.2289557420135578e+34
169,1.2290600048126775e+34
170,1.2291792183844223e+34
171,1.2293130206357805e+34
172,1.2294609961852622e+34
173,1.2296226764495674e+34
174,1.229797539820611e+34
175,1.2299850119636897e+34
176,1.2301844662705656e+34
177,1.2303952245038586e+34
178,1.230616557671269e+34
179,1.2308476871696924e+34
180,1.2310877862401157e+34
181,1.2313359817741611e+34
182,1.2315913565121422e+34
183,1.2318529516703868e+34
184,1.2321197700322366e+34
185,1.232390779532421e+34
186,1.2326649173584092e+34
187,1.2329410945847216e+34
188,1.2332182013471193e+34
189,1.2334951125530932e+34
190,1.2337706941132432e+34
191,1.2340438096652164e+34
192,1.2343133277480636e+34
193,1.234578129370537e+34
194,1.2348371159024072e+34
195,1.2350892172037843e+34
196,1.2353333998941875e+34
197,1.2355686756513405e+34
198,1.2357941094198255e+34
199,1.2360088274024628e+34
200,1.2362120247029756e+34
201,1.2364029724876099e+34
202,1.2365810245361627e+34
203,1.2367456230594982e+34
204,1.2368963036710517e+34
205,1.237032699413897e+34
206,1.2371545437622952e+34
207,1.237261672536785e+34
208,1.237354024694116e+34
209,1.2374316419769635e+34
210,1.237494667432522e+34
211,1.237543342832937e+34
212,1.2375780050532122e+34
213,1.2375990814829862e+34
214,1.2376070845666944e+34
215,1.2376026055815566e+34
216,1.2375863077741792e+34
217,1.2375589189840727e+34
218,1.2375212238860004e+34
219,1.2374740559829215e+34
220,1.2374182894775855e+34
221,1.2373548311440553e+34
222,1.2372846123110237e+34
223,1.2372085810573823e+34
224,1.2371276947076627e+34
225,1.2370429127012627e+34
226,1.2369551898952961e+34
227,1.236865470346857e+34
228,1.2367746816068061e+34
229,1.2366837295441789e+34
230,1.2365934937082056e+34
231,1.2365048232239888e+34
232,1.2364185332082487e+34
233,1.2363354016833702e+34
234,1.2362561669613213e+34
235,1.2361815254638273e+34
236,1.2361121299414373e+34
237,1.2360485880516827e+34
238,1.2359914612552705e+34
239,1.2359412639890294e+34
240,1.2358984630750095e+34
241,1.235863477326536e+34
242,1.2358366773140714e+34
243,1.2358183852562725e+34
244,1.2358088750045716e+34
245,1.2358083720928536e+34
246,1.2358170538272933e+34
247,1.235835049395068e+34
248,1.2358624399744428e+34
249,1.2358992588325925e+34
250,1.2359454914014473e+34
251,1.2360010753258162e+34
252,1.2360659004819952e+34
253,1.236139808969084e+34
254,1.2362225950791694e+34
255,1.236314005256519e+34
256,1.2364137380598128e+34
257,1.2365214441453142e+34
258,1.2366367262926184e+34
259,1.2367591394982634e+34
260,1.2368881911659192e+34
261,1.2370233414250817e+34
262,1.2371640036130903e+34
263,1.2373095449577712e+34
264,1.2374592874999964e+34
265,1.237612509296861e+34
266,1.2377684459468155e+34
267,1.237926292477934e+34
268,1.238085205639304e+34
269,1.2382443066331921e+34
270,1.238402684321935e+34
271,1.2385593989382662e+34
272,1.2387134863207382e+34
